trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.4, 'e': 0.990766245465348}",25,0,-136.34811323484038,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",1
70,False,"{'a': 0.4, 'e': 0.9904931018245359}",20,11,-29.377102917418913,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.9902159962126371}",20,0,-183.85626898867923,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
72,False,"{'a': 0.4, 'e': 0.9899349297380738}",20,0,-83.54782454250812,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
73,False,"{'a': 0.4, 'e': 0.9896499035251115}",30,0,-158.91999255266072,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
74,False,"{'a': 0.4, 'e': 0.9893609187138546}",25,0,-157.17060802767438,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
75,False,"{'a': 0.4, 'e': 0.989067976460242}",20,0,-160.02085456169675,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
76,False,"{'a': 0.4, 'e': 0.9887710779360422}",25,9,-19.0248195832069,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.9884702243288492}",25,0,-114.2243249903677,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
78,False,"{'a': 0.4, 'e': 0.9881654168420767}",25,0,-173.42353939294273,"{0: 10, 1: 1, 2: 12, 3: 1, 4: 1}",0
79,False,"{'a': 0.4, 'e': 0.9878566566949545}",25,0,-64.08831753969558,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
80,False,"{'a': 0.4, 'e': 0.9875439451225226}",20,0,-134.02482762753465,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
81,False,"{'a': 0.4, 'e': 0.9872272833756269}",30,0,-132.39848559875986,"{0: 19, 1: 6, 2: 2, 3: 1, 4: 2}",0
82,False,"{'a': 0.4, 'e': 0.986906672720914}",20,0,-107.58594057450728,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
83,False,"{'a': 0.4, 'e': 0.9865821144408262}",20,0,-63.2899689632087,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
